DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DK,2014,1.69,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DK,2015,1.71,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DK,2016,1.79,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DK,2017,1.75,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DK,2018,1.73,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DK,2019,1.70,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,DK,2020,1.68,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EE,2009,1.70,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EE,2010,1.72,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EE,2011,1.61,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EE,2012,1.56,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EE,2013,1.52,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EE,2014,1.54,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EE,2015,1.58,b
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EE,2016,1.60,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EE,2017,1.59,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EE,2018,1.67,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EE,2019,1.66,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EE,2020,1.58,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EL,2009,1.50,
